collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
MACUFA20,1,Electrofishing (individuals),Ameiurus catus,white catfish,,white catfish (Ameiurus catus),Ictaluridae: Ameiurus catus (white catfish) [Introduced],0,0.0000
MACUFA20,2,Electrofishing (individuals),Ameiurus melas/nebulosos,black/brown bullhead,,black/brown bullhead (Ameiurus melas),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],1,0.0020
MACUFA20,3,Electrofishing (individuals),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],0,0.0000
MACUFA20,4,Electrofishing (individuals),Catostomus occidentalis,Sacramento sucker,,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],0,0.0000
MACUFA20,5,Electrofishing (individuals),Cottus asper,prickly sculpin,,prickly sculpin (Cottus asper),Cottidae: Cottus asper (prickly sculpin) [Native],1,0.0020
MACUFA20,6,Electrofishing (individuals),Cyprinus carpio,common carp,,common carp (Cyprinus carpio),Cyprinidae: Cyprinus carpio (common carp) [Introduced],0,0.0000
MACUFA20,7,Electrofishing (individuals),Gambusia affinis,western mosquitofish,,western mosquitofish (Gambusia affinis),Poeciliidae: Gambusia affinis (western mosquitofish) [Introduced],4,0.0079
MACUFA20,8,Electrofishing (individuals),Gasterosteus aculeatus,threespine stickleback,,threespine stickleback (Gasterosteus aculeatus),Gasterosteidae: Gasterosteus aculeatus (threespine stickleback) [Native],0,0.0000
MACUFA20,9,Electrofishing (individuals),Hysterocarpus traskii,tule perch,,tule perch (Hysterocarpus traskii),Embiotocidae: Hysterocarpus traskii (tule perch) [Native],0,0.0000
MACUFA20,10,Electrofishing (individuals),Lavinia exilicauda,hitch,,hitch (Lavinia exilicauda),Cyprinidae: Lavinia exilicauda (hitch) [Native],0,0.0000
MACUFA20,11,Electrofishing (individuals),Lepomis cyanellus,green sunfish,,green sunfish (Lepomis cyanellus),Centrarchidae: Lepomis cyanellus (green sunfish) [Introduced],10,0.0198
MACUFA20,12,Electrofishing (individuals),Lepomis gulosus,warmouth,,warmouth (Lepomis gulosus),Centrarchidae: L. gulosus (warmouth) [Introduced],0,0.0000
MACUFA20,13,Electrofishing (individuals),Lepomis macrochirus,bluegill,bluegill,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],244,0.4822
MACUFA20,14,Electrofishing (individuals),Lepomis microlophus,redear sunfish,redear sunfish,redear sunfish (Lepomis microlophus),Centrarchidae: L. microlophus (redear sunfish) [Introduced],32,0.0632
MACUFA20,15,Electrofishing (individuals),Menidia beryllina complex,silverside,silverside,silverside (Menidia beryllina complex),Atherinopsidae: Menidia beryllina complex (silverside) [Introduced],122,0.2411
MACUFA20,16,Electrofishing (individuals),Micropterus dolomieu,smallmouth bass,,smallmouth bass (Micropterus dolomieu),Centrarchidae: Micropterus dolomieu (smallmouth bass) [Introduced],0,0.0000
MACUFA20,17,Electrofishing (individuals),Micropterus salmoides,largemouth bass,largemouth bass,largemouth bass (Micropterus salmoides),Centrarchidae: M. salmoides (largemouth bass)  [Introduced],89,0.1759
MACUFA20,18,Electrofishing (individuals),Notemigonus crysoleucas,golden shiner,,golden shiner (Notemigonus crysoleucas),Cyprinidae: Notemigonus crysoleucas (golden shiner) [Introduced],1,0.0020
MACUFA20,19,Electrofishing (individuals),Oncorhynchus mykiss ,rainbow trout,,rainbow trout (Oncorhynchus mykiss ),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],0,0.0000
MACUFA20,20,Electrofishing (individuals),Oncorhynchus tshawytscha,Chinook salmon,,Chinook salmon (Oncorhynchus tshawytscha),Salmonidae: O. tshawytscha (Chinook salmon) [Native],0,0.0000
MACUFA20,21,Electrofishing (individuals),Orthodon microlepidotus,Sacramento blackfish,,Sacramento blackfish (Orthodon microlepidotus),Cyprinidae: Orthodon microlepidotus (Sacramento blackfish) [Native],0,0.0000
MACUFA20,22,Electrofishing (individuals),Percina macrolepida,bigscale logperch,,bigscale logperch (Percina macrolepida),Percidae: Percina macrolepida (bigscale logperch) [Introduced],2,0.0040
MACUFA20,23,Electrofishing (individuals),Pimephales promelas,fathead minnow,,fathead minnow (Pimephales promelas),Cyprinidae: Pimephales promelas (fathead minnow) [Introduced],0,0.0000
MACUFA20,24,Electrofishing (individuals),Pomoxis nigromaculatus,black crappie,,black crappie (Pomoxis nigromaculatus),Centrarchidae: Pomoxis nigromaculatus (black crappie) [Introduced],0,0.0000
MACUFA20,25,Electrofishing (individuals),Ptychocheilus grandis,Sacramento pikeminnow,,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],0,0.0000
MACUFA20,26,eDNA (reads),Ameiurus catus,white catfish,,white catfish (Ameiurus catus),Ictaluridae: Ameiurus catus (white catfish) [Introduced],105,0.0007
MACUFA20,27,eDNA (reads),Ameiurus melas/nebulosos,black/brown bullhead,,black/brown bullhead (Ameiurus melas),Ictaluridae: A. melas/nebulosus (bullhead) [Introduced],165,0.0012
MACUFA20,28,eDNA (reads),Carassius auratus,goldfish,,goldfish (Carassius auratus),Cyprinidae: Carassius auratus (goldfish) [Introduced],0,0.0000
