collecting_event,number,method,species,common_name,common_name_label,names,names_by_family,frequency,relative_abundance
SW2DSP21APR,1,eDNA (reads),Ptychocheilus grandis,Sacramento pikeminnow,,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],9454,0.0729
SW2DSP21APR,2,eDNA (reads),Catostomus occidentalis,Sacramento sucker,Sacramento sucker,Sacramento sucker (Catostomus occidentalis),Catostomidae: Catostomus occidentalis (Sacramento sucker) [Native],71452,0.5513
SW2DSP21APR,3,eDNA (reads),Lepomis macrochirus,bluegill,,bluegill (Lepomis macrochirus),Centrarchidae: L. macrochirus (bluegill) [Introduced],1842,0.0142
SW2DSP21APR,4,eDNA (reads),Gasterosteus aculeatus,threespine stickleback,threespine stickleback,threespine stickleback (Gasterosteus aculeatus),Gasterosteidae: Gasterosteus aculeatus (threespine stickleback) [Native],18449,0.1423
SW2DSP21APR,5,eDNA (reads),Cottus asper,prickly sculpin,prickly sculpin,prickly sculpin (Cottus asper),Cottidae: Cottus asper (prickly sculpin) [Native],22265,0.1718
SW2DSP21APR,6,eDNA (reads),Hysterocarpus traskii,tule perch,,tule perch (Hysterocarpus traskii),Embiotocidae: Hysterocarpus traskii (tule perch) [Native],639,0.0049
SW2DSP21APR,7,eDNA (reads),Oncorhynchus mykiss,rainbow trout,,rainbow trout (Oncorhynchus mykiss),Salmonidae: Oncorhynchus mykiss (rainbow trout) [Native],983,0.0076
SW2DSP21APR,8,eDNA (reads),Oncorhynchus tshawytscha,Chinook salmon,,Chinook salmon (Oncorhynchus tshawytscha),Salmonidae: O. tshawytscha (Chinook salmon) [Native],4526,0.0349
SW2DSP21APR,9,eDNA (reads),Entosphenus tridentata,Pacific lamprey,,Pacific lamprey (Entosphenus tridentata),Petromyzontidae: Entosphenus tridentata (Pacific lamprey),0,0.0000
SW2DSP21APR,10,RST (biomass),Ptychocheilus grandis,Sacramento pikeminnow,,Sacramento pikeminnow (Ptychocheilus grandis),Cyprinidae: Ptychocheilus grandis (Sacramento pikeminnow) [Native],37.8,0.0256
