sample_id,run_id,sampling_date,site_code,old_site_code,river_mile,river_km,site_details,paired?,rep,number_within_run,barcode_forward,barcode_reverse,latitute,longitude
PC_049,PC_RRAN20201117C,11/17/2020,RRAN,RRAN,12,18,Russell Ranch - lower,No,C,3,N711,S505,38.5379,-121.865
PC_051,PC_KILD20200412A,4/12/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,A,5,N711,S507,38.5313,-121.9313
PC_052,PC_KILD20200412B,4/12/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,B,6,N711,S508,38.5313,-121.9313
PC_053,PC_KILD20200412C,4/12/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,C,7,N711,S510,38.5313,-121.9313
PC_055,PC_SCCA20200412B,4/12/2021,SCCA,SCCA,23,0,Stebbins Cold Canyon,No,B,9,N711,S502,38.5128,-122.0972
PC_056,PC_SCCA20200412C,4/12/2021,SCCA,SCCA,23,0,Stebbins Cold Canyon,No,C,10,N711,S503,38.5128,-122.0972
PC_057,PC_MBLU20200412A,4/12/2021,MBLU,MBLU,5,30,Mace Blvd - upstream,No,A,11,N711,S505,38.5176,-121.6967
PC_058,PC_MBLU20200412B,4/12/2021,MBLU,MBLU,5,30,Mace Blvd - upstream,No,B,12,N711,S506,38.5176,-121.6967
PC_059,PC_MBLU20200412C,4/12/2021,MBLU,MBLU,5,30,Mace Blvd - upstream,No,C,13,N711,S507,38.5176,-121.6967
PC_060,PC_FDNC20210412A,4/12/2021,FDNC,FDNC,NA,NA,Field Negative Control,NA,FNC5,14,N711,S508,NA,NA
PC_061,PC_KILU20200527A,5/27/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,A,15,N711,S510,38.5313,-121.9313
PC_062,PC_KILU20200527B,5/27/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,B,16,N711,S511,38.5313,-121.9313
PC_063,PC_KILU20200527C,5/27/2021,ST2D,KILD,18,8,Step Weir 2 - downstream,Screw trap,C,17,N711,S502,38.5313,-121.9313
PC_064,PC_KILD20200527A,5/27/2021,ST2U,KILU,18,8,Step Weir 2 Weir - upstream,Screw trap,A,18,N711,S503,38.5313,-121.9313
PC_065,PC_KILD20200527B,5/27/2021,ST2U,KILU,18,8,Step Weir 2 Weir - upstream,Screw trap,B,19,N711,S505,38.5313,-121.9313
PC_066,PC_KILD20200527C,5/27/2021,ST2U,KILU,18,8,Step Weir 2 Weir - upstream,Screw trap,C,20,N711,S506,38.5313,-121.9313
