sample_id,Site,RM,Date,Replicate,Rep_unique,Season,Year,Species,Status,Fig_color_Jacinto,Fig_color_top4,Rel_abund,Rank
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Ptychocheilus grandis,Native,Native,Pgrandis,0.02588646,6
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Catostomus occidentalis,Native,Native,Coccidentalis,0.04552554,4
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Micropterus salmoides,Non-native,Msalmonoides,Msalmonoides,0.01668548,7
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Lepomis macrochirus,Non-native,Non-native,Lmachrochirus,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Gasterosteus aculeatus,Native,Native,Native,0.48315215,1
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Cottus asper,Native,Casper,Native,0.21183911,2
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Cyprinus carpio,Non-native,Ccarpio,Non-native,0.00205669,8
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Lepomis microlophus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Gambusia affinis,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Hysterocarpus traskii,Native,Native,Native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Oncorhynchus mykiss,Native,Omykiss,Native,0.18313823,3
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Oncorhynchus tshawytscha,Native,Native,Native,0.00023196,11
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Lepomis cyanellus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Orthodon microlepidotus,Native,Native,Native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Carassius auratus,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Menidia audens complex,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Percina macrolepida,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Notemigonus crysoleucas,Non-native,Non-native,Non-native,NA,NA
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Micropterus dolomieu,Non-native,Non-native,Non-native,0.00125257,9
PC_001,SCCA,31.7,12/19/19,A,A,Fall,2019,Oncorhynchus nerka,Non-native,Non-native,Non-native,0.02901016,5
