sample_id,type,sampling_event_no,site,replicate,paired,sampling_date,season,river_km,julian_date,sampling_season,Notes
PC_001,Sample,1,SCCA,A,No,12/19/19,Fall,51.0,353,Fall,NA
PC_002,Sample,1,SCCA,B,No,12/19/19,Fall,51.0,353,Fall,NA
PC_003,Sample,1,SCCA,C,No,12/19/19,Fall,51.0,353,Fall,NA
PC_004,Sample,2,SW1D,A,No,12/19/19,Fall,34.4,353,Fall,NA
PC_005,Sample,2,SW1D,B,No,12/19/19,Fall,34.4,353,Fall,NA
PC_006,Sample,2,SW1D,C,No,12/19/19,Fall,34.4,353,Fall,NA
PC_007,Sample,3,MACD,A,No,12/19/19,Fall,10.6,353,Fall,NA
PC_008,Sample,3,MACD,B,No,12/19/19,Fall,10.6,353,Fall,NA
PC_009,Sample,3,MACD,C,No,12/19/19,Fall,10.6,353,Fall,NA
PC_018,Sample,4,RRAN,A,FYKE  ,5/25/20,Spring,26.7,146,Spring,NA
PC_019,Sample,4,RRAN,B,FYKE  ,5/25/20,Spring,26.7,146,Spring,NA
PC_020,Sample,4,RRAN,C,FYKE  ,5/28/20,Spring,26.7,146,Spring,NA
PC_025,Sample,5,SCCA,A,No,5/28/20,Spring,51.0,149,Spring,NA
PC_026,Sample,5,SCCA,B,No,5/28/20,Spring,51.0,149,Spring,NA
PC_035,Sample,5,SCCA,C,No,5/28/20,Spring,51.0,149,Spring,NA
PC_027,Sample,6,SW1D,A,No,5/28/20,Spring,34.4,149,Spring,NA
PC_028,Sample,6,SW1D,B,No,5/28/20,Spring,34.4,149,Spring,NA
PC_036,Sample,6,SW1D,C,No,5/28/20,Spring,34.4,149,Spring,NA
PC_029,Sample,7,MACD,A,No,5/28/20,Spring,10.6,149,Spring,NA
PC_030,Sample,7,MACD,B,No,5/28/20,Spring,10.6,149,Spring,NA
PC_031,Sample,7,MACD,C,No,5/28/20,Spring,10.6,149,Spring,NA
PC_037,Sample,8,MACU,A,EF,10/19/20,Fall,11.1,293,Fall,NA
